,decade,title,author,act,normalizedGenre,numOfSpeakersMale,numOfSpeakersFemale,numOfActs,meanNEUTRAL,meanPOSITIVE,meanNEGATIVE,meanSKIP,meanSPEECH,countNEUTRAL,countPOSITIVE,countNEGATIVE,countSKIP,countSPEECH,avg_text_len,totalCOUNT,percentNEUTRAL,percentPOSITIVE,percentNEGATIVE,percentSKIP,percentSPEECH
369,1860,"За чем пойдешь, то и найдешь (Женитьба Бальзаминова)",Островский,0,NotStated,2,7,0,0.851083220095835,0.805750287714459,0.797803008331443,0.649045686358991,0.805751343568166,428,42,106,92,6,82.8709198813056,674,63.5014836795252,6.23145400593472,15.7270029673591,13.6498516320475,0.890207715133531
377,1860,"Опрометчивый Турка, или: Приятно ли быть внуком?",Прутков,0,NotStated,6,1,0,0.868558919855527,,0.830168947577477,0.680454701185226,,28,0,4,4,0,232.75,36,77.7777777777778,0,11.1111111111111,11.1111111111111,0
378,1860,Пучина,Островский,0,NotStated,13,6,0,0.855105397306264,0.830031000822783,0.796220776951237,0.609187866871556,0.819780118763447,504,40,157,96,16,82.7933579335793,813,61.9926199261993,4.92004920049201,19.3111931119311,11.8081180811808,1.9680196801968
384,1860,"Свои собаки грызутся, чужая не приставай",Островский,0,NotStated,2,6,0,0.870993049173225,0.874128334224224,0.767194896108574,0.564468632340431,0.761500189701716,293,36,72,50,6,80.4157549234136,457,64.1137855579869,7.87746170678337,15.7549234135667,10.9409190371991,1.3129102844639
404,1860,"Черепослов, сиречь Френолог",Прутков,0,NotStated,7,2,0,0.848861515522003,0.811813067448767,0.758912158363006,0.627161287344419,,55,19,17,26,0,70.2649572649573,117,47.008547008547,16.2393162393162,14.5299145299145,22.2222222222222,0
475,1880,Медведь,Чехов,0,Comedy,2,1,0,0.862754466598981,0.772171208262444,0.807352131267764,0.614472856745124,0.626778781414032,73,10,53,16,1,127.111111111111,153,47.7124183006536,6.5359477124183,34.640522875817,10.4575163398693,0.65359477124183
476,1880,На большой дороге,Чехов,0,NotStated,7,3,0,0.820121388331704,0.826802527904511,0.780957313002767,0.64506032142569,0.914439260959625,115,5,74,68,2,98.3598484848485,264,43.5606060606061,1.89393939393939,28.030303030303,25.7575757575758,0.757575757575758
484,1880,Ночь перед судом,Чехов,0,NotStated,3,1,0,0.906233302503824,0.873371732234955,0.826343704015017,0.641427384181456,0.69597715139389,40,5,16,11,2,125.121621621622,74,54.0540540540541,6.75675675675676,21.6216216216216,14.8648648648649,2.7027027027027
485,1880,Предложение,Чехов,0,Comedy,2,1,0,0.847004705667496,0.853578799444696,0.863984457164441,0.656210092206796,0.775280654430389,95,23,53,24,2,89.1573604060914,197,48.2233502538071,11.6751269035533,26.9035532994924,12.1827411167513,1.01522842639594
486,1880,Сродство мировых сил,Прутков,0,NotStated,1,0,0,0.619790051132441,,0.780961751937866,0.6729490061601,,8,0,2,6,0,225.5,16,50,0,12.5,37.5,0
