normalizedGenre,title,decade,author,numOfActs,percentNEUTRAL,percentPOSITIVE,percentNEGATIVE,percentSKIP,percentSPEECH
Comedy,Свои люди – сочтемся,1850,Островский,4,50.3130537284301,3.31581634543402,22.855193639025,21.7754074806692,1.74052880644162
NotStated,Воспитанница,1850,Островский,0,54.6902654867257,5.66371681415929,22.8318584070797,15.3982300884956,1.41592920353982
NotStated,Неожиданный случай,1850,Островский,0,60.545905707196,8.18858560794045,22.8287841191067,6.20347394540943,2.23325062034739
NotStated,Отрывок,1840,Гоголь,0,60.8333333333333,3.33333333333333,22.5,11.6666666666667,1.66666666666667
Comedy,Доходное место,1850,Островский,5,57.4221956007958,6.96343437266473,22.4827602674238,11.6105665818816,1.52104317723402
NotStated,Адам и Ева,1930,Булгаков,4,60.9500405666854,5.60954045226653,22.3092065572406,9.54981380931578,1.58139861449167
Tragedy,Росслав,1780,Княжнин,5,37.8585850577678,4.14401893669583,22.1838184587063,35.5810194072951,0.232558139534884
Tragedy,Дидона,1760,Княжнин,5,31.3330627705628,4.08531746031746,22.1434884559885,42.4381313131313,0
Tragedy,Димитрий Самозванец,1770,Сумароков,5,36.8765801972963,5.002338326635,22.0318597004019,34.8196565582755,1.26956521739131
NotStated,Три сестры,1900,Чехов,4,52.522235549615,9.8398153610571,22.0142419336411,13.0626399311851,2.56106722450166
NotStated,"Власть тьмы, или 'коготок увяз, всей птичке пропасть'",1880,Толстой,5,55.0733701537795,1.91916730659421,21.8096781656723,20.7741400358359,0.423644338118022
Comedy,Вишневый сад,1900,Чехов,4,56.4928741380596,11.5202814753208,21.6430609480441,9.0176269756637,1.3261564629118
NotStated,Ночь перед судом,1880,Чехов,0,54.0540540540541,6.75675675675676,21.6216216216216,14.8648648648649,2.7027027027027
NotStated,Скупой рыцарь,1830,Пушкин,0,56.8627450980392,0,21.5686274509804,20.5882352941176,0.980392156862745
Tragedy,Мысль,1910,Андреев,3,63.8900438900439,5.33264033264033,21.5407715407715,7.13444213444214,2.1021021021021
NotStated,Пир во время чумы,1830,Пушкин,0,25,14.2857142857143,21.4285714285714,35.7142857142857,3.57142857142857
NotStated,Дети Ванюшина,1900,Найдёнов,4,64.9654428918348,5.06939073293773,21.4084277344021,7.55491349271267,1.0018251481127
NotStated,Разговор на большой дороге,1850,Тургенев,0,59.6059113300493,4.92610837438424,21.1822660098522,13.7931034482759,0.492610837438424
NotStated,К звёздам,1900,Андреев,4,58.9049580128786,11.3054507806113,20.8475069872427,6.62721496411612,2.31486925515124
NotStated,Старый друг лучше новых двух,1860,Островский,3,60.1868998628258,5.17344623826105,20.7363880974992,11.4190935950195,2.48417220639443
Tragedy,Забракованные,1850,Некрасов,3,46.031746031746,1.58730158730159,20.6349206349206,31.7460317460317,0
Comedy,Пирог,1800,Крылов,1,43.4010152284264,12.1827411167513,20.5583756345178,22.0812182741117,1.77664974619289
NotStated,Бег,1920,Булгаков,4,61.3484363064624,4.69807393121393,20.5344660036343,11.8839331911116,1.53509056757777
NotStated,Последние дни (Пушкин),1940,Булгаков,4,60.1289146911788,5.23567166586035,20.3388808256733,11.7257216577971,2.57081115949041
Tragedy,Павел первый,1900,Мережковский,5,59.4869246895866,5.60450726008977,20.2781656473726,13.1802219763644,1.45018042658664
Comedy,Не в свои сани не садись,1850,Островский,3,54.5388445233166,6.64374445430346,20.2405599921128,16.1478359459726,2.42901508429459
Comedy,Бедная невеста,1850,Островский,5,53.3320074478154,8.33443758058436,20.1244042894393,16.2700653817496,1.93908530041143
Comedy,Проказники,1790,Крылов,5,52.223366862622,6.09464456599461,20.1161556209964,21.0362476245259,0.529585325861069
NotStated,Кабала святош (Мольер),1930,Булгаков,4,61.7764245440572,5.20861414087671,20.066858521031,11.1954632954982,1.75263949853685
Tragedy,Освобожденная Москва,1790,Херасков,5,43.0190493099711,3.00489099620229,19.9021488995523,33.751330149113,0.32258064516129
NotStated,Нелюдимка,1850,Ростопчина,5,47.6923309178744,6.88549795615013,19.7887634708287,24.0383221850613,1.59508547008547
NotStated,Рембрандт,1940,Кедрин,6,60.8323436247876,4.66022070473111,19.7430261063293,13.9185093811955,0.845900182956456
NotStated,Шутники,1860,Островский,4,63.5204618253774,4.34864901062124,19.6826047391188,10.5155139447896,1.93277048009303
